tmdb_id,original_language,original_title,description,genres,year,keywords,director,actors,popularity,popularity_bins,vote_average,vote_average_bins
211672,en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Family,Animation,Adventure,Comedy",2015,"assistant,aftercreditsstinger,duringcreditsstinger,evil mastermind,minions,3d",Kyle Balda,"Sandra Bullock,Jon Hamm,Michael Keaton",547.5,Very High,6.4,High
297762,en,Wonder Woman,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,"Action,Adventure,Fantasy",2017,"dc comics,hero,greek mythology,island,world war i,superhero,based on comic,superheroine,period drama,heroine,super powers,woman director,1910s,dc extended universe",Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright",294.3,Very High,7.2,Very High
321612,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,"Family,Fantasy,Romance",2017,"france,magic,castle,fairy tale,musical,curse,anthropomorphism,creature,held captive,gothic,18th century,beast,3d",Bill Condon,"Emma Watson,Dan Stevens,Luke Evans",287.3,Very High,6.8,High
339403,en,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Action,Crime",2017,"robbery,atlanta,music,crime boss,romance,tinnitus,car chase,car,getaway driver",Edgar Wright,"Ansel Elgort,Lily James,Kevin Spacey",228.0,Very High,7.2,Very High
177572,en,Big Hero 6,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","Adventure,Family,Animation,Action,Comedy",2014,"brother brother relationship,hero,talent,revenge,best friend,another dimension,robot,boy genius,hate,aftercreditsstinger,moral dilemma,3d,teen superheroes,dead brother",Chris Williams,"Scott Adsit,Ryan Potter,Daniel Henney",213.8,Very High,7.8,Very High
293660,en,Deadpool,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","Action,Adventure,Comedy",2016,"anti hero,mercenary,marvel comic,superhero,based on comic,breaking the fourth wall,aftercreditsstinger,duringcreditsstinger,self healing",Tim Miller,"Ryan Reynolds,Morena Baccarin,Ed Skrein",187.9,Very High,7.4,Very High
283995,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,"Action,Adventure,Comedy,Science Fiction",2017,"sequel,superhero,based on comic,misfit,space,outer space,aftercreditsstinger,duringcreditsstinger",James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista",185.3,Very High,7.6,Very High
19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Action,Adventure,Fantasy,Science Fiction",2009,"culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet,cgi,marine,soldier,battle,love affair,anti war,power relations,mind and soul,3d",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver",185.1,Very High,7.2,Very High
245891,en,John Wick,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,"Action,Thriller",2014,"hitman,russian mafia,revenge,murder,gangster,dog,retired,widower",Chad Stahelski,"Keanu Reeves,Michael Nyqvist,Alfie Allen",183.9,Very High,7.0,High
210577,en,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Mystery,Thriller,Drama",2014,"based on novel,marriage crisis,disappearance,cheating husband,missing person,search party,criminal lawyer,wife murder,murder suspect,missing wife",David Fincher,"Ben Affleck,Rosamund Pike,Carrie Coon",154.8,Very High,7.9,Very High
131631,en,The Hunger Games: Mockingjay - Part 1,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"Science Fiction,Adventure,Thriller",2014,"resistance,post-apocalyptic,dystopia,war,sequel,female protagonist,bow and arrow,game,future war,revolt,class prejudice,human subjugation,based on young adult novel",Francis Lawrence,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",147.1,Very High,6.6,High
281338,en,War for the Planet of the Apes,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.","Drama,Science Fiction,War",2017,"based on novel,sequel,talking animal,ape",Matt Reeves,"Andy Serkis,Woody Harrelson,Steve Zahn",146.2,Very High,6.7,High
271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","Adventure,Action,Science Fiction",2016,"civil war,war,marvel comic,sequel,superhero,based on comic,imax,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d",Anthony Russo,"Chris Evans,Robert Downey Jr.,Scarlett Johansson",145.9,Very High,7.1,Very High
